2026-03-24 09:51:21 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.3.Final
2026-03-24 09:51:21 [main] INFO  c.f.gateway.ApiGatewayApplication - Starting ApiGatewayApplication using Java 17.0.11 with PID 23044 (D:\FinFlow\api-gateway\target\classes started by krish in D:\FinFlow\api-gateway)
2026-03-24 09:51:21 [main] DEBUG c.f.gateway.ApiGatewayApplication - Running with Spring Boot v3.5.12, Spring v6.2.17
2026-03-24 09:51:21 [main] INFO  c.f.gateway.ApiGatewayApplication - No active profile set, falling back to 1 default profile: "default"
2026-03-24 09:51:22 [main] INFO  o.s.cloud.context.scope.GenericScope - BeanFactory id=572c3cb0-4c81-39c1-a0a4-2250459e07f3
2026-03-24 09:51:23 [main] INFO  o.s.c.g.r.RouteDefinitionRouteLocator - Loaded RoutePredicateFactory [After]
2026-03-24 09:51:23 [main] INFO  o.s.c.g.r.RouteDefinitionRouteLocator - Loaded RoutePredicateFactory [Before]
2026-03-24 09:51:23 [main] INFO  o.s.c.g.r.RouteDefinitionRouteLocator - Loaded RoutePredicateFactory [Between]
2026-03-24 09:51:23 [main] INFO  o.s.c.g.r.RouteDefinitionRouteLocator - Loaded RoutePredicateFactory [Cookie]
2026-03-24 09:51:23 [main] INFO  o.s.c.g.r.RouteDefinitionRouteLocator - Loaded RoutePredicateFactory [Header]
2026-03-24 09:51:23 [main] INFO  o.s.c.g.r.RouteDefinitionRouteLocator - Loaded RoutePredicateFactory [Host]
2026-03-24 09:51:23 [main] INFO  o.s.c.g.r.RouteDefinitionRouteLocator - Loaded RoutePredicateFactory [Method]
2026-03-24 09:51:23 [main] INFO  o.s.c.g.r.RouteDefinitionRouteLocator - Loaded RoutePredicateFactory [Path]
2026-03-24 09:51:23 [main] INFO  o.s.c.g.r.RouteDefinitionRouteLocator - Loaded RoutePredicateFactory [Query]
2026-03-24 09:51:23 [main] INFO  o.s.c.g.r.RouteDefinitionRouteLocator - Loaded RoutePredicateFactory [ReadBody]
2026-03-24 09:51:23 [main] INFO  o.s.c.g.r.RouteDefinitionRouteLocator - Loaded RoutePredicateFactory [RemoteAddr]
2026-03-24 09:51:23 [main] INFO  o.s.c.g.r.RouteDefinitionRouteLocator - Loaded RoutePredicateFactory [XForwardedRemoteAddr]
2026-03-24 09:51:23 [main] INFO  o.s.c.g.r.RouteDefinitionRouteLocator - Loaded RoutePredicateFactory [Weight]
2026-03-24 09:51:23 [main] INFO  o.s.c.g.r.RouteDefinitionRouteLocator - Loaded RoutePredicateFactory [CloudFoundryRouteService]
2026-03-24 09:51:23 [main] INFO  o.s.c.n.e.c.DiscoveryClientOptionalArgsConfiguration - Eureka HTTP Client uses RestTemplate.
2026-03-24 09:51:23 [main] WARN  o.s.c.l.c.LoadBalancerCacheAutoConfiguration$LoadBalancerCaffeineWarnLogger - Spring Cloud LoadBalancer is currently working with the default cache. While this cache implementation is useful for development and tests, it's recommended to use Caffeine cache in production.You can switch to using Caffeine cache, by adding it and org.springframework.cache.caffeine.CaffeineCacheManager to the classpath.
2026-03-24 09:51:24 [main] INFO  o.s.c.n.eureka.InstanceInfoFactory - Setting initial instance status as: STARTING
