2026-04-26 11:14:49 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.3.Final
2026-04-26 11:14:50 [main] INFO  c.c.l.f.EurekaServerApplicationTests - Starting EurekaServerApplicationTests using Java 17.0.11 with PID 30964 (started by krish in D:\FinFlow\eureka-server)
2026-04-26 11:14:50 [main] INFO  c.c.l.f.EurekaServerApplicationTests - The following 1 profile is active: "test"
2026-04-26 11:14:55 [main] INFO  o.s.cloud.context.scope.GenericScope - BeanFactory id=f57c7ab1-9565-3bab-8aa5-8dcaba9c1eee
2026-04-26 11:15:07 [main] WARN  o.s.c.l.c.LoadBalancerCacheAutoConfiguration$LoadBalancerCaffeineWarnLogger - Spring Cloud LoadBalancer is currently working with the default cache. While this cache implementation is useful for development and tests, it's recommended to use Caffeine cache in production.You can switch to using Caffeine cache, by adding it and org.springframework.cache.caffeine.CaffeineCacheManager to the classpath.
2026-04-26 11:15:08 [main] INFO  o.s.c.n.eureka.InstanceInfoFactory - Setting initial instance status as: STARTING
2026-04-26 11:15:08 [main] WARN  c.n.eureka.cluster.PeerEurekaNodes - The replica size seems to be empty. Check the route 53 DNS Registry
2026-04-26 11:15:09 [main] INFO  o.s.b.a.e.web.EndpointLinksResolver - Exposing 1 endpoint beneath base path '/actuator'
2026-04-26 11:15:09 [main] INFO  o.s.c.n.e.s.EurekaServiceRegistry - Registering application EUREKA-SERVER with eureka with status UP
2026-04-26 11:15:09 [Thread-11] INFO  o.s.c.n.e.s.EurekaServerBootstrap - isAws returned false
2026-04-26 11:15:09 [Thread-11] INFO  o.s.c.n.e.s.EurekaServerBootstrap - Initialized server context
2026-04-26 11:15:09 [Thread-11] INFO  o.s.c.n.e.s.EurekaServerInitializerConfiguration - Started Eureka Server
2026-04-26 11:15:09 [main] INFO  c.c.l.f.EurekaServerApplicationTests - Started EurekaServerApplicationTests in 23.299 seconds (process running for 29.938)
2026-04-26 11:15:13 [main] INFO  o.s.t.c.s.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.finflow.EurekaServerApplicationTests]: EurekaServerApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2026-04-26 11:15:13 [SpringApplicationShutdownHook] INFO  o.s.c.n.e.s.EurekaServiceRegistry - Unregistering application EUREKA-SERVER with eureka with status DOWN
2026-04-26 11:15:13 [SpringApplicationShutdownHook] INFO  o.s.c.n.e.s.EurekaServerBootstrap - Shutting down Eureka Server..
2026-04-26 11:15:13 [SpringApplicationShutdownHook] INFO  o.s.c.n.e.s.EurekaServerBootstrap - Eureka Service is now shutdown...
2026-04-26 11:17:28 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.3.Final
2026-04-26 11:17:28 [main] INFO  c.c.l.f.EurekaServerApplicationTests - Starting EurekaServerApplicationTests using Java 17.0.11 with PID 37884 (started by krish in D:\FinFlow\eureka-server)
2026-04-26 11:17:28 [main] INFO  c.c.l.f.EurekaServerApplicationTests - The following 1 profile is active: "test"
2026-04-26 11:17:32 [main] INFO  o.s.cloud.context.scope.GenericScope - BeanFactory id=f57c7ab1-9565-3bab-8aa5-8dcaba9c1eee
2026-04-26 11:17:43 [main] WARN  o.s.c.l.c.LoadBalancerCacheAutoConfiguration$LoadBalancerCaffeineWarnLogger - Spring Cloud LoadBalancer is currently working with the default cache. While this cache implementation is useful for development and tests, it's recommended to use Caffeine cache in production.You can switch to using Caffeine cache, by adding it and org.springframework.cache.caffeine.CaffeineCacheManager to the classpath.
2026-04-26 11:17:44 [main] INFO  o.s.c.n.eureka.InstanceInfoFactory - Setting initial instance status as: STARTING
2026-04-26 11:17:45 [main] WARN  c.n.eureka.cluster.PeerEurekaNodes - The replica size seems to be empty. Check the route 53 DNS Registry
2026-04-26 11:17:45 [main] INFO  o.s.b.a.e.web.EndpointLinksResolver - Exposing 1 endpoint beneath base path '/actuator'
2026-04-26 11:17:46 [main] INFO  o.s.c.n.e.s.EurekaServiceRegistry - Registering application EUREKA-SERVER with eureka with status UP
2026-04-26 11:17:46 [Thread-11] INFO  o.s.c.n.e.s.EurekaServerBootstrap - isAws returned false
2026-04-26 11:17:46 [Thread-11] INFO  o.s.c.n.e.s.EurekaServerBootstrap - Initialized server context
2026-04-26 11:17:46 [Thread-11] INFO  o.s.c.n.e.s.EurekaServerInitializerConfiguration - Started Eureka Server
2026-04-26 11:17:46 [main] INFO  c.c.l.f.EurekaServerApplicationTests - Started EurekaServerApplicationTests in 20.602 seconds (process running for 26.404)
2026-04-26 11:17:49 [SpringApplicationShutdownHook] INFO  o.s.c.n.e.s.EurekaServiceRegistry - Unregistering application EUREKA-SERVER with eureka with status DOWN
2026-04-26 11:17:49 [SpringApplicationShutdownHook] INFO  o.s.c.n.e.s.EurekaServerBootstrap - Shutting down Eureka Server..
2026-04-26 11:17:49 [SpringApplicationShutdownHook] INFO  o.s.c.n.e.s.EurekaServerBootstrap - Eureka Service is now shutdown...
